Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",213.075000,-85.900000,90.000000,bottom
"C2","2.2uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",213.075000,-89.100000,-90.000000,bottom
"C4","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",186.875000,-95.200000,-90.000000,bottom
"C5","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",186.600000,-85.800000,180.000000,bottom
"C9","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",197.875000,-91.100000,-90.000000,bottom
"C10","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",208.400000,-89.500000,90.000000,bottom
"J2","Button conn left","PinSocket_2x02_P2.00mm_Vertical",180.780801,-87.935721,90.000000,bottom
"J3","Button conn left","PinSocket_2x02_P2.00mm_Vertical",215.550000,-93.775000,-90.000000,bottom
"J5","Misc conn 2","PinSocket_1x02_P2.00mm_Vertical",184.290000,-92.870000,180.000000,bottom
"J7","PinSocket_1x04_P2.00mm_Vertical","PinSocket_1x04_P2.00mm_Vertical",218.675000,-55.300000,-90.000000,bottom
"Q1","PNP","SOT-23-3",182.375000,-53.209835,0.000000,bottom
"Q2","PNP","SOT-23-3",182.375000,-59.709835,0.000000,bottom
"Q3","PNP","SOT-23-3",182.375000,-65.959835,0.000000,bottom
"Q4","PNP","SOT-23-3",182.375000,-72.209835,0.000000,bottom
"Q5","PNP","SOT-23-3",182.375000,-78.459835,0.000000,bottom
"R4","52.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",214.575000,-85.550000,-90.000000,bottom
"R5","1k (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",210.475000,-87.300000,0.000000,bottom
"R6","30.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",216.375000,-83.700000,-90.000000,bottom
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.375000,-56.459835,0.000000,bottom
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.375000,-62.709835,0.000000,bottom
"R9","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.075000,-69.000000,0.000000,bottom
"R10","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.175000,-75.200000,0.000000,bottom
"R11","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.275000,-81.400000,0.000000,bottom
"REF**","PinSocket_1x02_P2.00mm_Vertical","PinSocket_1x02_P2.00mm_Vertical",218.900000,-49.300000,180.000000,bottom
"REF**","PinSocket_1x02_P2.00mm_Vertical","PinSocket_1x02_P2.00mm_Vertical",218.100000,-94.700000,0.000000,bottom
"U1","TPS73701DRVR","WSON-6_L2.0-W2.0-P0.65-BL-EP",218.875000,-85.809835,90.000000,bottom
"U2","STM32F303CBTx","LQFP-48_7x7mm_P0.5mm",191.387500,-90.384835,180.000000,bottom
"U3","TLC59116ITPWRQ1","TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL",203.690761,-84.775083,90.000000,bottom
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",194.100000,-85.200000,180.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",194.100000,-87.400000,180.000000,top
"C7","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",195.625000,-91.709835,90.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.125000,-91.709835,90.000000,top
"D1","Blue","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",180.900000,-72.100000,90.000000,top
"D2","Green","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",180.900000,-77.600000,90.000000,top
"D3","Red","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",181.000000,-83.100000,90.000000,top
"D4","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-52.010000,0.000000,top
"D5","RGB","LED_D5.0mm-4x0.8mm_RGB",192.385000,-52.010000,0.000000,top
"D6","RGB","LED_D5.0mm-4x0.8mm_RGB",198.885000,-52.010000,0.000000,top
"D7","RGB","LED_D5.0mm-4x0.8mm_RGB",205.385000,-52.010000,0.000000,top
"D8","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-52.010000,0.000000,top
"D9","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-58.510000,0.000000,top
"D10","RGB","LED_D5.0mm-4x0.8mm_RGB",192.385000,-58.510000,0.000000,top
"D11","RGB","LED_D5.0mm-4x0.8mm_RGB",198.885000,-58.510000,0.000000,top
"D12","RGB","LED_D5.0mm-4x0.8mm_RGB",205.385000,-58.510000,0.000000,top
"D13","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-58.510000,0.000000,top
"D14","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-65.010000,0.000000,top
"D15","RGB","LED_D5.0mm-4x0.8mm_RGB",192.375000,-65.010000,0.000000,top
"D16","RGB","LED_D5.0mm-4x0.8mm_RGB",198.875000,-65.010000,0.000000,top
"D17","RGB","LED_D5.0mm-4x0.8mm_RGB",205.375000,-65.010000,0.000000,top
"D18","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-65.010000,0.000000,top
"D19","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-71.510000,0.000000,top
"D20","RGB","LED_D5.0mm-4x0.8mm_RGB",192.375000,-71.510000,0.000000,top
"D21","RGB","LED_D5.0mm-4x0.8mm_RGB",198.875000,-71.510000,0.000000,top
"D22","RGB","LED_D5.0mm-4x0.8mm_RGB",205.380000,-71.510000,0.000000,top
"D23","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-71.510000,0.000000,top
"D24","RGB","LED_D5.0mm-4x0.8mm_RGB",185.875000,-78.010000,0.000000,top
"D25","RGB","LED_D5.0mm-4x0.8mm_RGB",192.375000,-78.010000,0.000000,top
"D26","RGB","LED_D5.0mm-4x0.8mm_RGB",198.875000,-78.010000,0.000000,top
"D27","RGB","LED_D5.0mm-4x0.8mm_RGB",205.375000,-78.010000,0.000000,top
"D28","RGB","LED_D5.0mm-4x0.8mm_RGB",211.885000,-78.010000,0.000000,top
"D29","Green","LED_D5.0mm",221.475000,-92.959835,0.000000,top
"J1","Program Conn","PinSocket_5x2.54_SMD_90deg_952-3198-1-ND",208.700000,-92.000000,180.000000,top
"J4","Misc conn 1","PinSocket_1x02_P2.00mm_Vertical",182.325000,-49.375000,-90.000000,top
"J12","Shift Reg Conn","PinSocket_1x03_P2.00mm_Vertical",224.100000,-62.900000,180.000000,top
"R1","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.900000,-67.800000,-90.000000,top
"R2","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.950000,-83.300000,180.000000,top
"R3","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.500000,-83.300000,180.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",203.675000,-85.000000,-90.000000,top
"R13","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.200000,-85.000000,-90.000000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",201.125000,-84.959835,-90.000000,top
"SW1","Power switch","OS102011MA1QN1_CNK",223.900000,-82.500000,90.000000,top
"SW2","SW_Push","SW_TL1105SPF160Q",222.375000,-69.000000,-90.000000,top
